Transaction_ID,Investor_ID,Date,Fund_ID,Fund_Name,SIP_Amount,NAV,Units_Allocated
TXN000027,INV0003,2025-03-01,F002,Parag Parikh Flexi Cap Fund,20000,131.67,151.8949
TXN000028,INV0003,2025-04-01,F002,Parag Parikh Flexi Cap Fund,20000,60.97,328.0302
TXN000029,INV0003,2025-05-01,F002,Parag Parikh Flexi Cap Fund,20000,115.13,173.7167
TXN000030,INV0003,2025-06-01,F002,Parag Parikh Flexi Cap Fund,20000,126.47,158.1403
TXN000031,INV0003,2025-07-01,F002,Parag Parikh Flexi Cap Fund,20000,171.8,116.4144
TXN000032,INV0003,2025-08-01,F002,Parag Parikh Flexi Cap Fund,20000,64.96,307.8818
TXN000033,INV0003,2025-09-01,F002,Parag Parikh Flexi Cap Fund,20000,125.03,159.9616
TXN000034,INV0003,2025-10-01,F002,Parag Parikh Flexi Cap Fund,20000,53.53,373.6223
TXN000035,INV0003,2025-11-01,F002,Parag Parikh Flexi Cap Fund,20000,81.35,245.8513
TXN000036,INV0003,2025-12-01,F002,Parag Parikh Flexi Cap Fund,20000,61.75,323.8866
TXN000037,INV0004,2025-01-01,F001,SBI Bluechip Fund,15000,92.12,162.8311
TXN000038,INV0004,2025-02-01,F001,SBI Bluechip Fund,15000,58.8,255.102
TXN000039,INV0004,2025-03-01,F001,SBI Bluechip Fund,15000,125.89,119.1516
TXN000040,INV0004,2025-04-01,F001,SBI Bluechip Fund,15000,113.3,132.3919
TXN000041,INV0004,2025-05-01,F001,SBI Bluechip Fund,15000,143.27,104.6974
TXN000042,INV0004,2025-06-01,F001,SBI Bluechip Fund,15000,94.02,159.5405
TXN000043,INV0004,2025-07-01,F001,SBI Bluechip Fund,15000,98.69,151.9911
TXN000044,INV0004,2025-08-01,F001,SBI Bluechip Fund,15000,70.99,211.2974
TXN000045,INV0004,2025-09-01,F001,SBI Bluechip Fund,15000,176.1,85.1789
TXN000046,INV0004,2025-10-01,F001,SBI Bluechip Fund,15000,103.92,144.3418
TXN000047,INV0004,2025-11-01,F001,SBI Bluechip Fund,15000,88.71,169.0903
TXN000048,INV0004,2025-12-01,F001,SBI Bluechip Fund,15000,98.32,152.5631
TXN000049,INV0005,2025-01-01,F002,Parag Parikh Flexi Cap Fund,10000,177.86,56.224
TXN000050,INV0005,2025-02-01,F002,Parag Parikh Flexi Cap Fund,10000,100.26,99.7407
TXN000051,INV0005,2025-03-01,F002,Parag Parikh Flexi Cap Fund,10000,123.48,80.9848
TXN000052,INV0005,2025-04-01,F002,Parag Parikh Flexi Cap Fund,10000,99.39,100.6137
TXN000053,INV0005,2025-05-01,F002,Parag Parikh Flexi Cap Fund,10000,87.49,114.2988
TXN000054,INV0005,2025-06-01,F002,Parag Parikh Flexi Cap Fund,10000,83.6,119.6172
TXN000055,INV0005,2025-07-01,F002,Parag Parikh Flexi Cap Fund,10000,143.91,69.4879
TXN000056,INV0005,2025-08-01,F002,Parag Parikh Flexi Cap Fund,10000,135.62,73.7354
TXN000057,INV0005,2025-09-01,F002,Parag Parikh Flexi Cap Fund,10000,141.87,70.4871
TXN000058,INV0005,2025-10-01,F002,Parag Parikh Flexi Cap Fund,10000,145.96,68.5119
TXN000059,INV0005,2025-11-01,F002,Parag Parikh Flexi Cap Fund,10000,144.47,69.2185
TXN000060,INV0005,2025-12-01,F002,Parag Parikh Flexi Cap Fund,10000,44.3,225.7336
TXN000061,INV0006,2025-01-01,F004,UTI Nifty 50 Index Fund,3000,113.29,26.4807
TXN000062,INV0006,2025-02-01,F004,UTI Nifty 50 Index Fund,3000,92.1,32.5733
TXN000063,INV0006,2025-03-01,F004,UTI Nifty 50 Index Fund,3000,150.59,19.9216
TXN000064,INV0006,2025-04-01,F004,UTI Nifty 50 Index Fund,3000,128.47,23.3518
TXN000065,INV0006,2025-05-01,F004,UTI Nifty 50 Index Fund,3000,81.81,36.6703
TXN000066,INV0006,2025-06-01,F004,UTI Nifty 50 Index Fund,3000,157.76,19.0162
TXN000067,INV0006,2025-07-01,F004,UTI Nifty 50 Index Fund,3000,55.05,54.4959
TXN000068,INV0006,2025-08-01,F004,UTI Nifty 50 Index Fund,3000,106.0,28.3019
TXN000069,INV0006,2025-09-01,F004,UTI Nifty 50 Index Fund,3000,120.18,24.9626
TXN000070,INV0006,2025-10-01,F004,UTI Nifty 50 Index Fund,3000,115.4,25.9965
TXN000071,INV0006,2025-11-01,F004,UTI Nifty 50 Index Fund,3000,94.68,31.6857
TXN000072,INV0006,2025-12-01,F004,UTI Nifty 50 Index Fund,3000,73.88,40.6064
TXN000073,INV0007,2025-01-01,F002,Parag Parikh Flexi Cap Fund,7500,151.14,49.6229
TXN000074,INV0007,2025-02-01,F002,Parag Parikh Flexi Cap Fund,7500,119.49,62.7668
TXN000075,INV0007,2025-03-01,F002,Parag Parikh Flexi Cap Fund,7500,126.81,59.1436
TXN000076,INV0007,2025-04-01,F002,Parag Parikh Flexi Cap Fund,7500,143.01,52.4439
TXN000077,INV0007,2025-05-01,F002,Parag Parikh Flexi Cap Fund,7500,104.99,71.4354
TXN000078,INV0007,2025-06-01,F002,Parag Parikh Flexi Cap Fund,7500,122.28,61.3346
TXN000079,INV0007,2025-07-01,F002,Parag Parikh Flexi Cap Fund,7500,179.25,41.841
TXN000080,INV0007,2025-08-01,F002,Parag Parikh Flexi Cap Fund,7500,121.03,61.9681
TXN000081,INV0007,2025-09-01,F002,Parag Parikh Flexi Cap Fund,7500,148.72,50.4303
TXN000082,INV0007,2025-10-01,F002,Parag Parikh Flexi Cap Fund,7500,166.4,45.0721
TXN000083,INV0007,2025-11-01,F002,Parag Parikh Flexi Cap Fund,7500,147.36,50.8958
TXN000084,INV0007,2025-12-01,F002,Parag Parikh Flexi Cap Fund,7500,50.7,147.929
TXN000085,INV0008,2025-01-01,F001,SBI Bluechip Fund,3000,51.75,57.971
TXN000086,INV0008,2025-02-01,F001,SBI Bluechip Fund,3000,61.47,48.8043
TXN000087,INV0008,2025-03-01,F001,SBI Bluechip Fund,3000,96.45,31.1042
TXN000088,INV0008,2025-04-01,F001,SBI Bluechip Fund,3000,159.78,18.7758
TXN000089,INV0008,2025-05-01,F001,SBI Bluechip Fund,3000,73.22,40.9724
TXN000090,INV0008,2025-06-01,F001,SBI Bluechip Fund,3000,157.91,18.9982
TXN000091,INV0008,2025-07-01,F001,SBI Bluechip Fund,3000,129.47,23.1714
TXN000092,INV0008,2025-08-01,F001,SBI Bluechip Fund,3000,124.93,24.0134
TXN000093,INV0008,2025-09-01,F001,SBI Bluechip Fund,3000,160.85,18.6509
TXN000094,INV0008,2025-10-01,F001,SBI Bluechip Fund,3000,147.19,20.3818
TXN000095,INV0008,2025-11-01,F001,SBI Bluechip Fund,3000,71.5,41.958
TXN000096,INV0008,2025-12-01,F001,SBI Bluechip Fund,3000,111.35,26.9421
TXN000097,INV0009,2025-01-01,F001,SBI Bluechip Fund,5000,110.73,45.1549
TXN000098,INV0009,2025-02-01,F001,SBI Bluechip Fund,5000,74.73,66.9075
TXN000099,INV0009,2025-03-01,F001,SBI Bluechip Fund,5000,127.75,39.1389
TXN000100,INV0009,2025-04-01,F001,SBI Bluechip Fund,5000,130.77,38.2351
TXN000101,INV0009,2025-05-01,F001,SBI Bluechip Fund,5000,50.33,99.3443
TXN000102,INV0009,2025-06-01,F001,SBI Bluechip Fund,5000,135.45,36.914
TXN000103,INV0009,2025-07-01,F001,SBI Bluechip Fund,5000,149.11,33.5323
TXN000104,INV0009,2025-08-01,F001,SBI Bluechip Fund,5000,149.55,33.4336
TXN000105,INV0009,2025-09-01,F001,SBI Bluechip Fund,5000,143.66,34.8044
TXN000106,INV0009,2025-10-01,F001,SBI Bluechip Fund,5000,171.33,29.1834
TXN000107,INV0009,2025-11-01,F001,SBI Bluechip Fund,5000,88.09,56.7601
TXN000108,INV0009,2025-12-01,F001,SBI Bluechip Fund,5000,102.15,48.9476
TXN000109,INV0010,2025-01-01,F003,Nippon India Small Cap Fund,20000,137.43,145.5286
TXN000110,INV0010,2025-02-01,F003,Nippon India Small Cap Fund,20000,55.74,358.8088
TXN000111,INV0010,2025-03-01,F003,Nippon India Small Cap Fund,20000,57.04,350.6311
TXN000112,INV0010,2025-04-01,F003,Nippon India Small Cap Fund,20000,138.47,144.4356
TXN000113,INV0010,2025-05-01,F003,Nippon India Small Cap Fund,20000,80.7,247.8315
TXN000114,INV0010,2025-06-01,F003,Nippon India Small Cap Fund,20000,82.23,243.2202
TXN000115,INV0010,2025-07-01,F003,Nippon India Small Cap Fund,20000,154.93,129.0906
TXN000116,INV0010,2025-08-01,F003,Nippon India Small Cap Fund,20000,112.97,177.0382
TXN000117,INV0010,2025-09-01,F003,Nippon India Small Cap Fund,20000,117.16,170.7067
TXN000118,INV0010,2025-10-01,F003,Nippon India Small Cap Fund,20000,132.57,150.8637
TXN000119,INV0010,2025-11-01,F003,Nippon India Small Cap Fund,20000,67.25,297.3978
TXN000120,INV0010,2025-12-01,F003,Nippon India Small Cap Fund,20000,115.02,173.8828
TXN000121,INV0011,2025-01-01,F005,HDFC Mid-Cap Opportunities,7500,103.46,72.4918
TXN000122,INV0011,2025-02-01,F005,HDFC Mid-Cap Opportunities,7500,114.41,65.5537
TXN000123,INV0011,2025-03-01,F005,HDFC Mid-Cap Opportunities,7500,178.78,41.951
TXN000124,INV0011,2025-04-01,F005,HDFC Mid-Cap Opportunities,7500,119.59,62.7143
TXN000125,INV0011,2025-05-01,F005,HDFC Mid-Cap Opportunities,7500,57.81,129.7353
TXN000126,INV0011,2025-06-01,F005,HDFC Mid-Cap Opportunities,7500,132.67,56.5312
TXN000127,INV0011,2025-07-01,F005,HDFC Mid-Cap Opportunities,7500,158.96,47.1817
TXN000128,INV0011,2025-08-01,F005,HDFC Mid-Cap Opportunities,7500,91.02,82.3995
TXN000129,INV0011,2025-09-01,F005,HDFC Mid-Cap Opportunities,7500,56.26,133.3096
TXN000130,INV0011,2025-10-01,F005,HDFC Mid-Cap Opportunities,7500,55.17,135.9434
TXN000131,INV0011,2025-11-01,F005,HDFC Mid-Cap Opportunities,7500,168.92,44.3997
TXN000132,INV0011,2025-12-01,F005,HDFC Mid-Cap Opportunities,7500,129.26,58.0226
TXN000133,INV0012,2025-01-01,F001,SBI Bluechip Fund,1000,57.1,17.5131
TXN000134,INV0012,2025-02-01,F001,SBI Bluechip Fund,1000,75.63,13.2223
TXN000135,INV0012,2025-03-01,F001,SBI Bluechip Fund,1000,179.57,5.5689
TXN000136,INV0012,2025-04-01,F001,SBI Bluechip Fund,1000,116.77,8.5638
TXN000137,INV0012,2025-05-01,F001,SBI Bluechip Fund,1000,60.16,16.6223
TXN000138,INV0012,2025-06-01,F001,SBI Bluechip Fund,1000,152.62,6.5522
TXN000139,INV0012,2025-07-01,F001,SBI Bluechip Fund,1000,109.84,9.1042
TXN000140,INV0012,2025-08-01,F001,SBI Bluechip Fund,1000,150.49,6.645
TXN000141,INV0012,2025-09-01,F001,SBI Bluechip Fund,1000,125.96,7.939
TXN000142,INV0012,2025-10-01,F001,SBI Bluechip Fund,1000,89.33,11.1944
TXN000143,INV0012,2025-11-01,F001,SBI Bluechip Fund,1000,124.5,8.0321
TXN000144,INV0012,2025-12-01,F001,SBI Bluechip Fund,1000,47.42,21.0881
TXN000145,INV0013,2025-01-01,F002,Parag Parikh Flexi Cap Fund,7500,124.14,60.4157
TXN000146,INV0013,2025-02-01,F002,Parag Parikh Flexi Cap Fund,7500,115.84,64.7445
TXN000147,INV0013,2025-03-01,F002,Parag Parikh Flexi Cap Fund,7500,72.62,103.2773
TXN000148,INV0013,2025-04-01,F002,Parag Parikh Flexi Cap Fund,7500,57.87,129.6008
TXN000149,INV0013,2025-05-01,F002,Parag Parikh Flexi Cap Fund,7500,44.31,169.262
TXN000150,INV0013,2025-06-01,F002,Parag Parikh Flexi Cap Fund,7500,131.39,57.082
TXN000151,INV0013,2025-07-01,F002,Parag Parikh Flexi Cap Fund,7500,74.47,100.7117
TXN000152,INV0013,2025-08-01,F002,Parag Parikh Flexi Cap Fund,7500,98.71,75.9801
TXN000153,INV0013,2025-09-01,F002,Parag Parikh Flexi Cap Fund,7500,77.29,97.0371
TXN000154,INV0013,2025-10-01,F002,Parag Parikh Flexi Cap Fund,7500,74.24,101.0237
TXN000155,INV0013,2025-11-01,F002,Parag Parikh Flexi Cap Fund,7500,76.84,97.6054
TXN000156,INV0013,2025-12-01,F002,Parag Parikh Flexi Cap Fund,7500,55.26,135.722
TXN000157,INV0014,2025-01-01,F002,Parag Parikh Flexi Cap Fund,1000,127.51,7.8425
TXN000158,INV0014,2025-02-01,F002,Parag Parikh Flexi Cap Fund,1000,111.89,8.9373
TXN000159,INV0014,2025-03-01,F002,Parag Parikh Flexi Cap Fund,1000,171.81,5.8204
TXN000160,INV0014,2025-04-01,F002,Parag Parikh Flexi Cap Fund,1000,63.02,15.868
TXN000161,INV0014,2025-05-01,F002,Parag Parikh Flexi Cap Fund,1000,169.06,5.9151
TXN000162,INV0014,2025-06-01,F002,Parag Parikh Flexi Cap Fund,1000,127.15,7.8647
TXN000163,INV0014,2025-07-01,F002,Parag Parikh Flexi Cap Fund,1000,96.89,10.321
TXN000164,INV0014,2025-08-01,F002,Parag Parikh Flexi Cap Fund,1000,79.34,12.604
TXN000165,INV0014,2025-09-01,F002,Parag Parikh Flexi Cap Fund,1000,179.37,5.5751
TXN000166,INV0014,2025-10-01,F002,Parag Parikh Flexi Cap Fund,1000,137.68,7.2632
TXN000167,INV0014,2025-11-01,F002,Parag Parikh Flexi Cap Fund,1000,88.98,11.2385
TXN000168,INV0014,2025-12-01,F002,Parag Parikh Flexi Cap Fund,1000,170.4,5.8685
TXN000169,INV0015,2025-01-01,F001,SBI Bluechip Fund,15000,107.31,139.7819
TXN000170,INV0015,2025-02-01,F001,SBI Bluechip Fund,15000,121.29,123.6705
TXN000171,INV0015,2025-03-01,F001,SBI Bluechip Fund,15000,41.96,357.4833
TXN000172,INV0015,2025-04-01,F001,SBI Bluechip Fund,15000,51.43,291.6586
TXN000173,INV0015,2025-05-01,F001,SBI Bluechip Fund,15000,162.15,92.5069
TXN000174,INV0015,2025-06-01,F001,SBI Bluechip Fund,15000,114.64,130.8444
TXN000175,INV0015,2025-07-01,F001,SBI Bluechip Fund,15000,70.7,212.1641
TXN000176,INV0015,2025-08-01,F001,SBI Bluechip Fund,15000,131.39,114.1639
TXN000177,INV0015,2025-09-01,F001,SBI Bluechip Fund,15000,134.2,111.7735
TXN000178,INV0015,2025-10-01,F001,SBI Bluechip Fund,15000,50.12,299.2817
TXN000179,INV0015,2025-11-01,F001,SBI Bluechip Fund,15000,167.37,89.6218
TXN000180,INV0015,2025-12-01,F001,SBI Bluechip Fund,15000,130.67,114.793
TXN000181,INV0016,2025-01-01,F003,Nippon India Small Cap Fund,15000,161.23,93.0348
TXN000182,INV0016,2025-02-01,F003,Nippon India Small Cap Fund,15000,138.19,108.5462
TXN000183,INV0016,2025-03-01,F003,Nippon India Small Cap Fund,15000,67.92,220.8481
TXN000184,INV0016,2025-04-01,F003,Nippon India Small Cap Fund,15000,166.81,89.9227
TXN000185,INV0016,2025-05-01,F003,Nippon India Small Cap Fund,15000,134.14,111.8235
TXN000186,INV0016,2025-06-01,F003,Nippon India Small Cap Fund,15000,71.91,208.5941
TXN000187,INV0016,2025-07-01,F003,Nippon India Small Cap Fund,15000,166.68,89.9928
TXN000188,INV0016,2025-08-01,F003,Nippon India Small Cap Fund,15000,53.2,281.9549
TXN000189,INV0016,2025-09-01,F003,Nippon India Small Cap Fund,15000,96.07,156.1362
TXN000190,INV0016,2025-10-01,F003,Nippon India Small Cap Fund,15000,90.66,165.4533
TXN000191,INV0016,2025-11-01,F003,Nippon India Small Cap Fund,15000,114.46,131.0501
TXN000192,INV0016,2025-12-01,F003,Nippon India Small Cap Fund,15000,108.22,138.6065
TXN000193,INV0017,2025-01-01,F001,SBI Bluechip Fund,15000,111.42,134.6257
TXN000194,INV0017,2025-02-01,F001,SBI Bluechip Fund,15000,166.64,90.0144
TXN000195,INV0017,2025-03-01,F001,SBI Bluechip Fund,15000,47.6,315.1261
TXN000196,INV0017,2025-04-01,F001,SBI Bluechip Fund,15000,66.9,224.2152
TXN000197,INV0017,2025-05-01,F001,SBI Bluechip Fund,15000,152.08,98.6323
TXN000198,INV0017,2025-06-01,F001,SBI Bluechip Fund,15000,69.96,214.4082
TXN000199,INV0017,2025-07-01,F001,SBI Bluechip Fund,15000,172.71,86.8508
TXN000200,INV0017,2025-08-01,F001,SBI Bluechip Fund,15000,128.39,116.8315
TXN000201,INV0017,2025-09-01,F001,SBI Bluechip Fund,15000,149.74,100.1736
TXN000202,INV0017,2025-10-01,F001,SBI Bluechip Fund,15000,79.0,189.8734
TXN000203,INV0017,2025-11-01,F001,SBI Bluechip Fund,15000,125.38,119.6363
TXN000204,INV0017,2025-12-01,F001,SBI Bluechip Fund,15000,112.36,133.4995
TXN000205,INV0018,2025-01-01,F003,Nippon India Small Cap Fund,5000,173.37,28.8401
TXN000206,INV0018,2025-02-01,F003,Nippon India Small Cap Fund,5000,107.71,46.4209
TXN000207,INV0018,2025-03-01,F003,Nippon India Small Cap Fund,5000,176.19,28.3785
TXN000208,INV0018,2025-04-01,F003,Nippon India Small Cap Fund,5000,147.59,33.8776
TXN000209,INV0018,2025-05-01,F003,Nippon India Small Cap Fund,5000,152.86,32.7097
TXN000210,INV0018,2025-06-01,F003,Nippon India Small Cap Fund,5000,143.3,34.8918
TXN000211,INV0018,2025-07-01,F003,Nippon India Small Cap Fund,5000,178.25,28.0505
TXN000212,INV0018,2025-08-01,F003,Nippon India Small Cap Fund,5000,57.09,87.581
TXN000213,INV0018,2025-09-01,F003,Nippon India Small Cap Fund,5000,166.29,30.068
TXN000214,INV0018,2025-10-01,F003,Nippon India Small Cap Fund,5000,152.22,32.8472
TXN000215,INV0018,2025-11-01,F003,Nippon India Small Cap Fund,5000,106.49,46.9528
TXN000216,INV0018,2025-12-01,F003,Nippon India Small Cap Fund,5000,114.45,43.6872
TXN000217,INV0019,2025-01-01,F004,UTI Nifty 50 Index Fund,20000,56.55,353.6693
TXN000218,INV0019,2025-02-01,F004,UTI Nifty 50 Index Fund,20000,100.43,199.1437
TXN000219,INV0019,2025-03-01,F004,UTI Nifty 50 Index Fund,20000,56.19,355.9352
TXN000220,INV0019,2025-04-01,F004,UTI Nifty 50 Index Fund,20000,138.35,144.5609
TXN000221,INV0019,2025-05-01,F004,UTI Nifty 50 Index Fund,20000,168.31,118.8284
TXN000222,INV0019,2025-06-01,F004,UTI Nifty 50 Index Fund,20000,79.99,250.0313
TXN000223,INV0019,2025-07-01,F004,UTI Nifty 50 Index Fund,20000,90.99,219.8044
TXN000224,INV0019,2025-08-01,F004,UTI Nifty 50 Index Fund,20000,70.91,282.0477
TXN000225,INV0019,2025-09-01,F004,UTI Nifty 50 Index Fund,20000,126.12,158.5791
TXN000226,INV0019,2025-10-01,F004,UTI Nifty 50 Index Fund,20000,153.12,130.6165
TXN000227,INV0019,2025-11-01,F004,UTI Nifty 50 Index Fund,20000,74.51,268.4203
TXN000228,INV0019,2025-12-01,F004,UTI Nifty 50 Index Fund,20000,87.33,229.0164
TXN000229,INV0020,2025-01-01,F005,HDFC Mid-Cap Opportunities,5000,123.69,40.4236
TXN000230,INV0020,2025-02-01,F005,HDFC Mid-Cap Opportunities,5000,86.81,57.5971
TXN000231,INV0020,2025-03-01,F005,HDFC Mid-Cap Opportunities,5000,140.3,35.6379
TXN000232,INV0020,2025-04-01,F005,HDFC Mid-Cap Opportunities,5000,55.64,89.8634
TXN000233,INV0020,2025-05-01,F005,HDFC Mid-Cap Opportunities,5000,119.29,41.9147
TXN000234,INV0020,2025-06-01,F005,HDFC Mid-Cap Opportunities,5000,57.66,86.7152
TXN000235,INV0020,2025-07-01,F005,HDFC Mid-Cap Opportunities,5000,159.54,31.3401
TXN000236,INV0020,2025-08-01,F005,HDFC Mid-Cap Opportunities,5000,167.26,29.8936
TXN000237,INV0020,2025-09-01,F005,HDFC Mid-Cap Opportunities,5000,45.61,109.6251
TXN000238,INV0020,2025-10-01,F005,HDFC Mid-Cap Opportunities,5000,42.73,117.0138
TXN000239,INV0020,2025-11-01,F005,HDFC Mid-Cap Opportunities,5000,147.33,33.9374
TXN000240,INV0020,2025-12-01,F005,HDFC Mid-Cap Opportunities,5000,164.26,30.4395
TXN000241,INV0021,2025-01-01,F005,HDFC Mid-Cap Opportunities,5000,101.49,49.2659
TXN000242,INV0021,2025-02-01,F005,HDFC Mid-Cap Opportunities,5000,166.88,29.9616
TXN000243,INV0021,2025-03-01,F005,HDFC Mid-Cap Opportunities,5000,169.89,29.4308
TXN000244,INV0021,2025-04-01,F005,HDFC Mid-Cap Opportunities,5000,135.03,37.0288
TXN000245,INV0021,2025-05-01,F005,HDFC Mid-Cap Opportunities,5000,73.29,68.2221
TXN000246,INV0021,2025-06-01,F005,HDFC Mid-Cap Opportunities,5000,113.1,44.2087
TXN000247,INV0021,2025-07-01,F005,HDFC Mid-Cap Opportunities,5000,72.18,69.2713
TXN000248,INV0021,2025-08-01,F005,HDFC Mid-Cap Opportunities,5000,110.42,45.2817
TXN000249,INV0021,2025-09-01,F005,HDFC Mid-Cap Opportunities,5000,122.78,40.7232
TXN000250,INV0021,2025-10-01,F005,HDFC Mid-Cap Opportunities,5000,176.32,28.3575
TXN000251,INV0021,2025-11-01,F005,HDFC Mid-Cap Opportunities,5000,117.24,42.6476
TXN000252,INV0021,2025-12-01,F005,HDFC Mid-Cap Opportunities,5000,173.1,28.885
TXN000253,INV0022,2025-01-01,F003,Nippon India Small Cap Fund,3000,82.17,36.5097
TXN000254,INV0022,2025-02-01,F003,Nippon India Small Cap Fund,3000,150.5,19.9336
TXN000255,INV0022,2025-03-01,F003,Nippon India Small Cap Fund,3000,76.69,39.1185
TXN000256,INV0022,2025-04-01,F003,Nippon India Small Cap Fund,3000,40.54,74.001
TXN000257,INV0022,2025-05-01,F003,Nippon India Small Cap Fund,3000,155.65,19.274
TXN000258,INV0022,2025-06-01,F003,Nippon India Small Cap Fund,3000,82.76,36.2494
TXN000259,INV0022,2025-07-01,F003,Nippon India Small Cap Fund,3000,108.94,27.5381
TXN000260,INV0022,2025-08-01,F003,Nippon India Small Cap Fund,3000,81.2,36.9458
TXN000261,INV0022,2025-09-01,F003,Nippon India Small Cap Fund,3000,173.26,17.315
TXN000262,INV0022,2025-10-01,F003,Nippon India Small Cap Fund,3000,86.76,34.5781
TXN000263,INV0022,2025-11-01,F003,Nippon India Small Cap Fund,3000,151.03,19.8636
TXN000264,INV0022,2025-12-01,F003,Nippon India Small Cap Fund,3000,73.99,40.546
TXN000265,INV0023,2025-01-01,F003,Nippon India Small Cap Fund,20000,134.48,148.721
TXN000266,INV0023,2025-02-01,F003,Nippon India Small Cap Fund,20000,143.88,139.0047
TXN000267,INV0023,2025-03-01,F003,Nippon India Small Cap Fund,20000,104.38,191.6076
TXN000268,INV0023,2025-04-01,F003,Nippon India Small Cap Fund,20000,49.44,404.5307
TXN000269,INV0023,2025-05-01,F003,Nippon India Small Cap Fund,20000,141.86,140.9841
TXN000270,INV0023,2025-06-01,F003,Nippon India Small Cap Fund,20000,126.24,158.4284
TXN000271,INV0023,2025-07-01,F003,Nippon India Small Cap Fund,20000,143.53,139.3437
TXN000272,INV0023,2025-08-01,F003,Nippon India Small Cap Fund,20000,89.08,224.5173
TXN000273,INV0023,2025-09-01,F003,Nippon India Small Cap Fund,20000,146.91,136.1378
TXN000274,INV0023,2025-10-01,F003,Nippon India Small Cap Fund,20000,49.97,400.2401
TXN000275,INV0023,2025-11-01,F003,Nippon India Small Cap Fund,20000,73.52,272.0348
TXN000276,INV0023,2025-12-01,F003,Nippon India Small Cap Fund,20000,152.39,131.2422
TXN000277,INV0024,2025-01-01,F002,Parag Parikh Flexi Cap Fund,15000,70.37,213.159
TXN000278,INV0024,2025-02-01,F002,Parag Parikh Flexi Cap Fund,15000,172.04,87.189
TXN000279,INV0024,2025-03-01,F002,Parag Parikh Flexi Cap Fund,15000,142.03,105.6115
TXN000280,INV0024,2025-04-01,F002,Parag Parikh Flexi Cap Fund,15000,148.08,101.2966
TXN000281,INV0024,2025-05-01,F002,Parag Parikh Flexi Cap Fund,15000,68.51,218.9461
TXN000282,INV0024,2025-06-01,F002,Parag Parikh Flexi Cap Fund,15000,62.39,240.4231
TXN000283,INV0024,2025-07-01,F002,Parag Parikh Flexi Cap Fund,15000,41.07,365.2301
TXN000284,INV0024,2025-08-01,F002,Parag Parikh Flexi Cap Fund,15000,54.16,276.9572
TXN000285,INV0024,2025-09-01,F002,Parag Parikh Flexi Cap Fund,15000,107.24,139.8732
TXN000286,INV0024,2025-10-01,F002,Parag Parikh Flexi Cap Fund,15000,159.74,93.9026
TXN000287,INV0024,2025-11-01,F002,Parag Parikh Flexi Cap Fund,15000,86.85,172.7116
